product,country,price,millisSinceEpoch
butter,croatia,482,1498867200000
butter,denmark,276,662688000000
butter,denmark,276,665366400000
butter,denmark,276,667785600000
butter,denmark,276,670464000000
butter,denmark,276,673056000000
butter,denmark,276,675734400000
butter,denmark,276,678326400000
butter,denmark,276,681004800000
butter,denmark,278,683683200000
butter,denmark,287,686275200000
butter,denmark,287,688953600000
butter,denmark,285,691545600000
butter,denmark,280,694224000000
butter,denmark,280,696902400000
butter,denmark,280,699408000000
butter,denmark,280,702086400000
butter,denmark,280,704678400000
butter,denmark,280,707356800000
butter,denmark,280,709948800000
butter,denmark,280,712627200000
butter,denmark,280,715305600000
butter,denmark,280,717897600000
butter,denmark,280,720576000000
butter,denmark,280,723168000000
butter,denmark,280,725846400000
butter,denmark,280,728524800000
butter,denmark,280,730944000000
butter,denmark,277,733622400000
butter,denmark,274,736214400000
butter,denmark,274,738892800000
butter,denmark,274,741484800000
butter,denmark,267,744163200000
butter,denmark,263,746841600000
butter,denmark,263,749433600000
butter,denmark,263,752112000000
butter,denmark,263,754704000000
butter,denmark,263,757382400000
butter,denmark,263,760060800000
butter,denmark,263,762480000000
butter,denmark,263,765158400000
butter,denmark,263,767750400000
butter,denmark,263,770428800000
butter,denmark,263,773020800000
butter,denmark,263,775699200000
butter,denmark,263,778377600000
butter,denmark,263,780969600000
butter,denmark,263,783648000000
butter,denmark,263,786240000000
butter,denmark,274,788918400000
butter,denmark,318,791596800000
butter,denmark,318,794016000000
butter,denmark,318,796694400000
butter,denmark,315,799286400000
butter,denmark,305,801964800000
butter,denmark,309,804556800000
butter,denmark,315,807235200000
butter,denmark,315,809913600000
butter,denmark,315,812505600000
butter,denmark,315,815184000000
butter,denmark,315,817776000000
butter,denmark,315,820454400000
butter,denmark,315,823132800000
butter,denmark,315,825638400000
butter,denmark,315,828316800000
butter,denmark,316,830908800000
butter,denmark,321,833587200000
butter,denmark,321,836179200000
butter,denmark,321,838857600000
butter,denmark,321,841536000000
butter,denmark,321,844128000000
butter,denmark,321,846806400000
butter,denmark,321,849398400000
butter,denmark,327,852076800000
butter,denmark,335,854755200000
butter,denmark,348,857174400000
butter,denmark,348,859852800000
butter,denmark,360,862444800000
butter,denmark,368,865123200000
butter,denmark,367,867715200000
butter,denmark,366,870393600000
butter,denmark,374,873072000000
butter,denmark,385,875664000000
butter,denmark,385,878342400000
butter,denmark,385,880934400000
butter,denmark,385,883612800000
butter,denmark,385,886291200000
butter,denmark,385,888710400000
butter,denmark,385,891388800000
butter,denmark,385,893980800000
butter,denmark,385,896659200000
butter,denmark,385,899251200000
butter,denmark,385,901929600000
butter,denmark,385,904608000000
butter,denmark,382,907200000000
butter,denmark,372,909878400000
butter,denmark,372,912470400000
butter,denmark,378,915148800000
butter,denmark,378,917827200000
butter,denmark,378,920246400000
butter,denmark,378,922924800000
butter,denmark,378,925516800000
butter,denmark,378,928195200000
butter,denmark,378,930787200000
butter,denmark,378,933465600000
butter,denmark,378,936144000000
butter,denmark,378,938736000000
butter,denmark,378,941414400000
butter,denmark,378,944006400000
butter,denmark,378,946684800000
butter,denmark,377,949363200000
butter,denmark,377,951868800000
butter,denmark,377,954547200000
butter,denmark,377,959817600000
butter,denmark,377,962409600000
butter,denmark,377,965088000000
butter,denmark,377,967766400000
butter,denmark,377,970358400000
butter,denmark,377,973036800000
butter,denmark,377,975628800000
butter,denmark,376,978307200000
butter,denmark,377,980985600000
butter,denmark,376,983404800000
butter,denmark,377,986083200000
butter,denmark,377,988675200000
butter,denmark,377,991353600000
butter,denmark,377,993945600000
butter,denmark,377,996624000000
butter,denmark,378,999302400000
butter,denmark,378,1004572800000
butter,denmark,378,1007164800000
butter,denmark,378,1009843200000
butter,denmark,378,1012521600000
butter,denmark,378,1014940800000
butter,denmark,378,1017619200000
butter,denmark,378,1020211200000
butter,denmark,378,1022889600000
butter,denmark,378,1025481600000
butter,denmark,378,1028160000000
butter,denmark,378,1033430400000
butter,denmark,378,1036108800000
butter,denmark,378,1038700800000
butter,denmark,378,1041379200000
butter,denmark,378,1044057600000
butter,denmark,378,1046476800000
butter,denmark,378,1049155200000
butter,denmark,378,1051747200000
butter,denmark,378,1054425600000
butter,denmark,378,1057017600000
butter,denmark,378,1059696000000
butter,denmark,378,1062374400000
butter,denmark,378,1064966400000
butter,denmark,378,1067644800000
butter,denmark,378,1070236800000
butter,denmark,377,1072915200000
butter,denmark,377,1075593600000
butter,denmark,377,1078099200000
butter,denmark,377,1080777600000
butter,denmark,378,1083369600000
butter,denmark,378,1086048000000
butter,denmark,378,1088640000000
butter,denmark,378,1091318400000
butter,denmark,378,1093996800000
butter,denmark,378,1096588800000
butter,denmark,378,1099267200000
butter,denmark,378,1101859200000
butter,denmark,378,1104537600000
butter,denmark,378,1107216000000
butter,denmark,377,1109635200000
butter,denmark,377,1112313600000
butter,denmark,377,1114905600000
butter,denmark,364,1117584000000
butter,denmark,333,1120176000000
butter,denmark,334,1122854400000
butter,denmark,334,1125532800000
butter,denmark,325,1128124800000
butter,denmark,324,1130803200000
butter,denmark,334,1133395200000
butter,denmark,322,1136073600000
butter,denmark,319,1138752000000
butter,denmark,317,1141171200000
butter,denmark,300,1143849600000
butter,denmark,299,1146441600000
butter,denmark,305,1149120000000
butter,denmark,308,1151712000000
butter,denmark,307,1154390400000
butter,denmark,301,1157068800000
butter,denmark,310,1159660800000
butter,denmark,306,1162339200000
butter,denmark,311,1164931200000
butter,denmark,305,1167609600000
butter,denmark,306,1170288000000
butter,denmark,305,1172707200000
butter,denmark,305,1175385600000
butter,denmark,347,1177977600000
butter,denmark,320,1180656000000
butter,denmark,304,1183248000000
butter,denmark,321,1185926400000
butter,denmark,364,1188604800000
butter,denmark,364,1191196800000
butter,denmark,364,1193875200000
butter,denmark,364,1196467200000
butter,denmark,364,1199145600000
butter,denmark,364,1201824000000
butter,denmark,364,1204329600000
butter,denmark,364,1207008000000
butter,denmark,364,1209600000000
butter,denmark,364,1212278400000
butter,denmark,364,1214870400000
butter,denmark,364,1217548800000
butter,denmark,325,1220227200000
butter,denmark,313,1222819200000
butter,denmark,310,1225497600000
butter,denmark,311,1228089600000
butter,denmark,293,1230768000000
butter,denmark,271,1233446400000
butter,denmark,272,1235865600000
butter,denmark,271,1238544000000
